coupon,ISIN,issue date,maturity date,Jan-18,Jan-19,Jan-20,Jan-21,Jan-22,Jan-25,Jan-26,Jan-27,Jan-28,Jan-29
0.015,CA135087K296,5/6/2019,08/01/2021,100.76,100.75,100.73,100.72,100.72,100.71,100.71,100.71,100.7,100.7
0.015,CA135087K601,11/4/2019,02/01/2022,101.44,101.44,101.41,101.4,101.4,101.38,101.38,101.39,101.38,101.38
0.0025,CA135087L286,5/4/2020,08/01/2022,100.2,100.19,100.16,100.16,100.16,100.14,100.15,100.17,100.18,100.18
0.0025,CA135087L773,10/26/2020,02/01/2023,100.13,100.12,100.1,100.1,100.1,100.08,100.09,100.12,100.12,100.13
0.015,CA135087A610,7/30/2012,06/01/2023,103.13,103.14,103.1,103.09,103.09,103.04,103.06,103.1,103.08,103.06
0.0225,CA135087J546,10/5/2018,03/01/2024,106.21,106.21,106.17,106.15,106.17,106.12,106.18,106.22,106.19,106.18
0.015,CA135087J967,4/5/2019,09/01/2024,104.27,104.28,104.25,104.19,104.24,104.29,104.26,104.32,104.24,104.24
0.0125,CA135087K528,10/11/2019,03/01/2025,103.6,103.6,103.59,103.51,103.54,103.62,103.59,103.66,103.61,103.57
0.005,CA135087K940,4/3/2020,09/01/2025,100.33,100.32,100.3,100.22,100.27,100.37,100.33,100.42,100.35,100.33
0.0025,CA135087L518,10/9/2020,03/01/2026,98.78,98.77,98.76,98.66,98.71,98.84,98.83,98.93,98.86,98.81
